"ABEV3","CSNA3","EGIE3","EQTL3","GGBR4","GOAU4","RADL3","RAIL3","UGPA3","USIM5"
0.000440081411953662,0.000138374025204055,0.000110079415941385,0.000123192725106817,0.000139828027992084,0.00013977843849426,0.000138889009797671,0.000175081765683772,0.00022547621486001,0.000122599972480247
0.000138374025204055,0.00102878593403928,3.74390823750602e-05,5.22742895561699e-05,0.000575942471956058,0.000554035937561547,2.39759559717375e-05,0.000151571665295266,0.000179175554462046,0.000698699422016227
0.000110079415941385,3.74390823750602e-05,0.000197391032673229,0.00017114087833647,5.03760843530142e-05,5.18947492533422e-05,0.000109925212882109,0.000147456392069915,0.00018009671081359,4.95325869790451e-05
0.000123192725106817,5.22742895561699e-05,0.00017114087833647,0.000376445567982828,9.91210573223367e-05,9.28290084815104e-05,0.000126635846067665,0.000203840781585596,0.000236547692090721,7.38080135385567e-05
0.000139828027992084,0.000575942471956058,5.03760843530142e-05,9.91210573223367e-05,0.000614671201840691,0.000565704402475154,4.06247421861677e-05,0.000104114986377183,0.000168207337885755,0.000551612570584086
0.00013977843849426,0.000554035937561547,5.18947492533422e-05,9.28290084815104e-05,0.000565704402475154,0.000550673545040437,4.47724795850321e-05,0.000108935174251596,0.000166651459719254,0.000542137779739637
0.000138889009797671,2.39759559717375e-05,0.000109925212882109,0.000126635846067665,4.06247421861677e-05,4.47724795850321e-05,0.000418281014046593,0.000148172737968507,0.000185266276125935,3.3805225443011e-05
0.000175081765683772,0.000151571665295266,0.000147456392069915,0.000203840781585596,0.000104114986377183,0.000108935174251596,0.000148172737968507,0.00051976210240622,0.000264602812425929,0.000104333091443615
0.00022547621486001,0.000179175554462046,0.00018009671081359,0.000236547692090721,0.000168207337885755,0.000166651459719254,0.000185266276125935,0.000264602812425929,0.000677519551780993,0.000161765115779312
0.000122599972480247,0.000698699422016227,4.95325869790451e-05,7.38080135385567e-05,0.000551612570584086,0.000542137779739637,3.3805225443011e-05,0.000104333091443615,0.000161765115779312,0.000832336323060292
