"ABEV3","CSNA3","EGIE3","EQTL3","GGBR4","GOAU4","RADL3","RAIL3","UGPA3","USIM5"
0.000285100211126637,7.23226481636404e-05,8.64209112371926e-05,6.23905146030758e-05,8.00230750707711e-05,7.958771501426e-05,8.88424696682272e-05,4.45472786586681e-05,7.89935769479746e-05,0.000104861267697914
7.23226481636404e-05,0.000876550329052945,4.50141934281098e-05,4.22322327900547e-05,0.000271135418115387,0.000302627011752358,-2.37898817176599e-05,0.000122389395956517,9.23474160614041e-05,0.000384655425076346
8.64209112371926e-05,4.50141934281098e-05,0.000247436102667641,9.36175513632071e-05,7.64744233415024e-05,8.79801961541128e-05,7.96273986512144e-05,7.87470077476147e-05,0.000110527038750694,9.23887715530634e-05
6.23905146030758e-05,4.22322327900547e-05,9.36175513632071e-05,0.000196789521877443,6.87127158843521e-05,9.08870290253912e-05,6.75764600072127e-05,8.86724761651789e-05,7.46809907814134e-05,7.13507937302337e-05
8.00230750707711e-05,0.000271135418115387,7.64744233415024e-05,6.87127158843521e-05,0.000377304747129962,0.000363028396507823,5.92470204193711e-05,8.34363076937896e-05,0.000174389198021826,0.000290071251757035
7.958771501426e-05,0.000302627011752358,8.79801961541128e-05,9.08870290253912e-05,0.000363028396507823,0.000408012794524686,6.72329851194729e-05,9.69033489098504e-05,0.000183539210851747,0.000319620265109955
8.88424696682272e-05,-2.37898817176599e-05,7.96273986512144e-05,6.75764600072127e-05,5.92470204193711e-05,6.72329851194729e-05,0.000368075530369734,6.24072042300937e-05,0.000102914738231011,5.21456570391399e-05
4.45472786586681e-05,0.000122389395956517,7.87470077476147e-05,8.86724761651789e-05,8.34363076937896e-05,9.69033489098504e-05,6.24072042300937e-05,0.000265324494635472,0.000104771109591363,9.05468267479792e-05
7.89935769479746e-05,9.23474160614041e-05,0.000110527038750694,7.46809907814134e-05,0.000174389198021826,0.000183539210851747,0.000102914738231011,0.000104771109591363,0.000508673394108663,0.000208757063774619
0.000104861267697914,0.000384655425076346,9.23887715530634e-05,7.13507937302337e-05,0.000290071251757035,0.000319620265109955,5.21456570391399e-05,9.05468267479792e-05,0.000208757063774619,0.000542721918296023
