"CPLE6","CYRE3","ECOR3","ELET6","ENBR3","GOAU4","MRFG3","MRVE3","TAEE11","USIM5"
0.00111663022215275,0.00116156414792551,0.00101918326373807,0.000936050141116301,0.000661469647129532,0.000987082407056133,0.000799902487480475,0.000903299439133397,0.000338926323648856,0.0010160633667014
0.00116156414792551,0.00248153916721938,0.00171571320343211,0.00135962948101112,0.000847274070319767,0.00141110719820556,0.00109335871582914,0.0016910219345195,0.000433576001202865,0.00145009829589791
0.00101918326373807,0.00171571320343211,0.00189761008250632,0.00119309270193459,0.000773827422057684,0.00121229779494813,0.00101546206883738,0.00126954090854092,0.000399081849541591,0.00119180391335132
0.000936050141116301,0.00135962948101112,0.00119309270193459,0.00154282106372668,0.000715371508347679,0.00104272612473326,0.000904006492331222,0.00104522216071402,0.000313405341216837,0.00114765978691736
0.000661469647129532,0.000847274070319767,0.000773827422057684,0.000715371508347679,0.000619053886785196,0.000651179110913194,0.000552595828858382,0.00065343937100897,0.000245822426290805,0.000667918576112663
0.000987082407056133,0.00141110719820556,0.00121229779494813,0.00104272612473326,0.000651179110913194,0.00182119045860488,0.00106045706103951,0.00111317822119574,0.000346186060467905,0.00162142287328512
0.000799902487480475,0.00109335871582914,0.00101546206883738,0.000904006492331222,0.000552595828858382,0.00106045706103951,0.00200538564652764,0.000808270623449404,0.00026684418588766,0.000985317656044804
0.000903299439133397,0.0016910219345195,0.00126954090854092,0.00104522216071402,0.00065343937100897,0.00111317822119574,0.000808270623449404,0.00178118179202726,0.000359335152761155,0.00114922995057628
0.000338926323648856,0.000433576001202865,0.000399081849541591,0.000313405341216837,0.000245822426290805,0.000346186060467905,0.00026684418588766,0.000359335152761155,0.000231253359743552,0.00033539049134059
0.0010160633667014,0.00145009829589791,0.00119180391335132,0.00114765978691736,0.000667918576112663,0.00162142287328512,0.000985317656044804,0.00114922995057628,0.00033539049134059,0.00213985636229563
