"ABEV3","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","CCRO3","CMIG4","CIEL3","CPLE6","CSAN3","CPFE3","CYRE3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","EGIE3","EQTL3","GGBR4","GOAU4","HYPE3","ITSA4","ITUB4","JBSS3","KLBN11","RENT3","LREN3","MRFG3","MRVE3","MULT3","PETR3","PETR4","QUAL3","RADL3","RAIL3","SBSP3","SANB11","CSNA3","TAEE11","UGPA3","USIM5","VALE3","WEGE3","I"
13.667076,14.136212,6.668292,6.614288,6.082198,1.626488,9.077393,15.39596,46.338554,8.78419,1.733191,16.199465,0.990851,4.457144,9.137158,5.123525,3.144611,3.972019,6.042487,26.114664,7.150271,15.231668,5.754135,2.675997,0.733023,16.431049,3.356474,10.640138,8.42309,15.500925,5.875661,12.071403,4.310036,5.147835,11.470254,3.128166,2.231119,8.688957,6.921,2.197596,16.128004,9.162253,2.503582,7.401017,24.356634,0.866756,6.131661,4.770712,37645
13.485289,13.384417,6.735464,6.650336,5.994101,1.585826,9.070252,15.253464,46.338554,8.72065,1.74116,16.204454,0.999224,4.453203,9.275502,5.180295,3.014668,4.003859,6.126996,26.299118,6.920466,15.221586,5.866961,2.605161,0.704556,16.790852,3.367163,10.663199,8.799048,15.888845,5.789418,12.181812,4.420146,5.262232,11.46139,3.318072,2.266374,8.828093,7.157632,2.017793,15.915793,9.155269,2.581333,7.548057,24.516703,0.832766,6.085058,4.983965,37717
13.923231,13.544635,6.595015,6.668357,6.117437,1.595991,9.277206,14.844554,46.338554,8.847728,1.781003,16.179523,1.060629,4.620691,9.710292,5.116429,2.945365,4.139177,6.070656,27.095181,7.156837,15.524005,5.938128,2.613031,0.704556,17.110678,3.420609,10.764664,8.511081,15.991763,5.700394,12.292222,4.601041,5.465604,11.585519,3.27587,2.221047,8.869835,7.356401,1.498361,16.543938,9.120353,2.68241,7.597069,25.468199,0.849761,6.011823,5.073395,38031
13.914968,12.940734,6.460671,6.668357,6.046958,1.595991,9.198709,14.5038,44.977974,8.736535,1.773034,15.830503,1.043882,4.630543,9.499484,4.931925,3.006005,3.88446,5.7467,26.541822,7.071482,15.574412,5.88779,2.58155,0.690323,17.190634,3.474056,10.879971,7.887148,15.56426,5.72265,11.975716,4.498796,5.484671,11.564831,3.143991,2.115283,8.709829,7.314755,1.498361,16.790102,8.820065,2.659085,7.7049,24.614517,0.824268,5.958563,4.880778,37497
14.724747,12.977707,6.729357,6.805332,6.120964,1.651902,9.063121,14.733036,45.885029,9.197189,1.956315,16.179523,1.120918,4.729064,9.77617,5.116429,3.196588,4.242658,6.267847,27.250511,7.366948,15.801215,5.960693,2.644514,0.704556,17.79031,3.479402,10.921474,6.727274,15.556346,5.886791,12.476234,4.404416,5.643553,11.52641,3.44995,2.301629,8.584607,7.373439,1.668175,17.520105,8.868948,2.705735,8.072499,25.419291,0.764785,6.264814,5.080275,38376
14.782586,13.402901,6.790423,6.920674,6.131535,1.595991,9.262935,14.435648,45.500519,9.530766,2.127641,16.239359,1.152736,4.843351,10.257071,5.002888,3.187925,4.385936,6.739695,26.143791,7.393212,16.128836,6.01624,2.683867,0.704556,17.75033,3.554228,10.99527,7.479194,15.912591,5.758815,12.476234,4.679692,5.643553,11.653497,3.4394,2.316738,8.744611,7.515418,1.768066,17.706852,8.910847,2.68241,8.229343,25.628265,0.730794,6.211553,5.066516,38630
15.418842,14.253293,7.248409,7.061255,6.395825,1.687481,9.883795,14.869339,47.551243,10.150266,2.354749,16.887535,1.230888,4.953696,10.678685,5.073852,3.456473,4.632696,7.077738,27.920366,7.95788,17.056244,6.278343,2.833408,0.733023,17.870262,3.677156,11.507217,8.639067,16.625097,6.101005,13.057722,4.797667,5.815148,12.235727,3.655682,2.437611,9.384631,7.85238,1.887935,18.097317,9.113369,2.760161,8.52342,26.401918,0.722297,6.471199,5.317605,40406
15.310668,14.481297,7.327794,7.147762,6.561444,1.717978,10.105021,14.584343,47.945614,10.047014,2.64959,16.628263,1.230888,4.947784,10.863142,5.180295,3.50845,4.712295,7.274928,27.891243,7.977578,17.066324,6.309587,2.990819,0.818424,18.869717,3.698534,11.754109,8.615071,16.015514,6.245672,13.293262,4.813397,5.815148,12.540143,3.471051,2.377174,9.739424,8.017077,1.987826,18.114296,9.253037,2.915663,8.690069,26.001755,0.81577,6.32473,5.186902,40570
14.961185,13.865073,7.083534,6.854548,6.296525,1.57566,9.34857,14.187826,47.17659,9.578419,2.091782,15.556276,1.169483,4.847291,10.461291,5.215777,3.404496,4.616775,7.204503,26.464159,7.819995,16.637901,6.188081,2.951467,0.825541,18.805752,3.393886,10.909587,8.047131,15.508841,6.12048,12.932596,4.687557,5.783371,12.392367,3.175642,2.165646,9.287235,7.998147,1.847979,17.571039,8.715312,2.931213,8.342076,25.24144,0.798775,5.725547,4.973647,38596
15.061037,14.216317,7.169024,7.287466,6.599885,1.651902,9.469888,14.683474,48.655479,9.927881,2.175454,16.069834,1.22084,4.725123,10.612807,5.215777,3.595078,4.608815,7.105908,26.609779,7.938182,16.647982,6.231476,2.927855,0.839774,18.661827,3.570261,11.172633,8.279106,15.912591,6.206724,13.315348,4.726882,5.808793,12.60812,3.260044,2.261338,9.043751,8.21585,1.798033,17.638947,8.882914,2.946764,8.307766,25.561573,0.81577,5.998509,5.069954,39589
15.277387,14.444324,7.449924,7.774498,6.95969,1.880626,9.848111,14.856947,49.227318,10.086727,2.179438,16.478682,1.267173,4.740887,10.869728,5.393184,3.69037,4.815774,7.134078,26.881603,8.00384,17.106647,6.325209,3.234807,0.925175,19.069613,3.629053,11.334154,8.703061,16.19235,6.259583,13.101889,4.663961,5.815148,12.761805,3.518527,2.382211,9.043751,8.263175,1.887935,18.250111,9.336837,3.234442,8.675364,25.921721,0.866756,6.883972,5.049318,40822
15.09432,14.789408,7.535415,7.532787,6.889137,1.880626,9.769612,14.81358,50.094936,10.324997,2.31889,15.491455,1.311831,4.606897,10.935606,5.613169,3.725021,4.791895,7.042525,27.085472,8.135158,17.04616,6.320002,3.289901,0.996343,19.365448,3.623708,11.444915,8.463085,16.495157,6.12048,12.365825,4.758342,5.815148,12.862291,3.370823,2.286519,8.904617,8.104157,2.297487,18.555695,9.455555,3.405495,8.748885,25.699404,0.858259,6.810738,5.021801,40592
14.927903,14.789408,7.504882,7.583294,6.966743,1.824716,9.769612,14.441844,49.986485,10.150266,2.53006,15.212243,1.336951,4.646306,10.915845,5.634459,3.673044,4.680455,6.965058,27.755327,8.043236,17.136887,6.260985,3.313514,1.060393,19.117584,3.629053,11.500296,8.295105,16.574844,5.995289,11.960991,4.719017,5.700752,12.856382,3.228394,2.170682,8.779394,8.3105,2.167629,18.632092,9.497458,3.382169,8.724378,25.646051,0.824268,6.790765,5.021801,40377
14.853014,14.234807,7.504882,7.453417,6.78684,1.733226,9.320023,14.33652,48.970974,9.729322,2.326859,14.010619,1.247076,4.512316,10.540342,5.513822,3.534439,4.712295,6.936888,26.697149,7.944748,17.136887,6.21759,2.927855,0.896708,18.829741,3.548883,11.158789,8.047131,16.208286,5.850622,11.791699,4.640367,5.783371,12.581518,3.117616,2.130392,8.528954,8.121194,2.057749,18.250111,9.232084,3.016739,8.670464,25.339256,0.722297,6.571063,4.908294,39318
14.91126,14.234807,7.504882,7.478674,6.808006,1.819634,9.277206,14.225,49.986485,9.610189,2.310921,14.584006,1.249309,4.640395,10.481052,5.53511,3.647055,4.616775,6.725611,27.376715,7.865958,16.975599,6.221062,2.951467,0.918058,18.717804,3.554228,11.246472,8.039132,16.056881,5.856188,11.924188,4.663961,5.649909,12.587429,3.328621,2.241192,8.55678,8.064404,2.137662,18.080341,9.357788,3.125591,8.699872,26.006199,0.722297,6.824052,4.935812,39808
14.91126,14.487458,7.614799,7.511142,6.808006,1.880626,9.377118,14.249784,50.44001,9.967592,2.334828,14.833302,1.250426,4.790149,10.362474,5.606073,3.378507,4.640655,6.690399,27.541752,7.872521,17.036079,6.264456,2.982949,0.925175,18.837734,3.559573,11.209558,8.063129,16.375628,5.853405,12.034598,4.608907,5.738884,12.794314,3.391924,2.301629,8.751567,8.073869,2.207585,18.504763,9.490472,3.187792,8.62635,25.943949,0.764785,6.997151,4.822304,40093
14.952864,14.604543,7.645331,7.720387,7.051399,2.028027,9.562657,14.869339,51.37664,9.975535,2.41053,14.903113,1.295084,4.829558,10.448116,5.78348,3.50845,4.640655,6.810122,28.629055,7.990709,17.343538,6.273135,3.226936,0.996343,18.909693,3.613019,11.48183,8.567075,16.479216,6.037019,12.292222,4.734747,5.751595,12.687919,3.318072,2.236156,8.821136,8.295355,2.297487,18.742439,9.68601,3.44437,8.724378,26.27742,0.832766,7.516445,4.815424,40948
15.194175,15.288552,7.645331,7.788934,7.129005,2.03311,9.534112,14.931293,51.544247,9.951706,2.442405,14.883165,1.339742,4.807883,10.942195,5.762191,3.664381,4.855574,7.042525,28.629055,8.194252,17.590508,6.368604,3.321384,1.02481,19.149567,3.629053,11.606432,9.079019,16.55891,6.037019,12.682333,4.719017,5.878702,12.693828,3.576554,2.357028,9.043751,8.283996,2.277509,18.852789,9.811709,3.537672,8.930234,26.722048,0.849761,7.929217,4.811987,41631
15.310668,14.820219,7.694183,7.763679,6.984376,1.961951,9.184433,16.015514,52.510456,9.880227,2.522091,15.257115,1.302899,4.807883,11.100298,5.677035,3.543101,4.815774,7.077738,29.15329,8.174555,17.459467,6.406792,3.219066,0.974992,19.389437,3.564917,11.371071,8.759053,16.662498,6.067622,12.814822,4.656097,5.993098,12.696784,3.481601,2.311701,9.008967,8.424087,2.167629,18.759417,9.769808,3.568772,9.052766,27.522375,0.739292,7.662912,4.867021,41478
